job_ad_id,job_city,job_industry,job_type,job_fed_contractor,job_equal_opp_employer,job_ownership,job_req_any,job_req_communication,job_req_education,job_req_min_experience,job_req_computer,job_req_organization,job_req_school,received_callback,firstname,race,gender,years_college,college_degree,honors,worked_during_school,years_experience,computer_skills,special_skills,volunteer,military,employment_holes,has_email_address,resume_quality,fed_contractor_missing
394,Chicago,business_and_personal_service,clerical,0.0,1,private,1,1,0,0,1,0,none_listed,0,Keisha,black,f,4,1,0,0,4,1,0,0,0,1,0,low,0
395,Chicago,manufacturing,manager,0.0,0,unknown,0,0,0,0,0,0,none_listed,0,Keisha,black,f,4,1,0,0,3,0,1,0,0,0,0,low,1
394,Chicago,business_and_personal_service,clerical,0.0,1,private,1,1,0,0,1,0,none_listed,0,Lakisha,black,f,3,0,0,1,4,1,0,1,1,0,1,high,0
395,Chicago,manufacturing,manager,0.0,0,unknown,0,0,0,0,0,0,none_listed,0,Laurie,white,f,4,1,0,1,5,0,1,1,0,0,1,high,1
394,Chicago,business_and_personal_service,clerical,0.0,1,private,1,1,0,0,1,0,none_listed,0,Meredith,white,f,4,1,1,0,5,1,0,0,0,1,0,low,0
395,Chicago,manufacturing,manager,0.0,0,unknown,0,0,0,0,0,0,none_listed,0,Tyrone,black,m,4,1,0,1,5,0,1,1,0,0,1,high,1
396,Chicago,other_service,manager,0.0,0,unknown,1,0,1,1,0,0,college,0,Anne,white,f,4,1,0,0,7,1,0,1,0,1,1,high,1
396,Chicago,other_service,manager,0.0,0,unknown,1,0,1,1,0,0,college,0,Emily,white,f,4,1,0,1,6,1,0,0,0,0,0,low,1
396,Chicago,other_service,manager,0.0,0,unknown,1,0,1,1,0,0,college,0,Latoya,black,f,4,1,0,0,5,1,1,0,0,1,0,low,1
396,Chicago,other_service,manager,0.0,0,unknown,1,0,1,1,0,0,college,0,Tamika,black,f,3,0,0,0,7,1,0,1,0,1,1,high,1
397,Chicago,wholesale_and_retail_trade,manager,0.0,0,unknown,0,0,0,0,0,0,none_listed,0,Brad,white,m,0,0,0,0,4,1,1,1,0,1,1,high,0
397,Chicago,wholesale_and_retail_trade,manager,0.0,0,unknown,0,0,0,0,0,0,none_listed,0,Latoya,black,f,4,1,0,1,5,0,1,1,0,0,1,high,0
398,Chicago,other_service,secretary,0.0,0,public,1,0,0,0,0,0,none_listed,0,Kristen,white,f,4,1,0,0,4,1,0,0,0,1,0,low,0
398,Chicago,other_service,secretary,0.0,0,public,1,0,0,0,0,0,none_listed,0,Latonya,black,f,4,1,0,1,5,1,1,0,0,0,1,high,0
398,Chicago,other_service,secretary,0.0,0,public,1,0,0,0,0,0,none_listed,0,Latoya,black,f,4,1,0,1,6,1,0,0,0,1,0,low,0
398,Chicago,other_service,secretary,0.0,0,public,1,0,0,0,0,0,none_listed,0,Laurie,white,f,4,1,0,1,6,1,0,1,0,0,1,high,0
399,Chicago,finance_insurance_real_estate,secretary,0.0,0,private,1,0,0,0,0,0,none_listed,0,Allison,white,f,4,1,0,1,13,1,1,0,0,1,0,low,0
399,Chicago,finance_insurance_real_estate,secretary,0.0,0,private,1,0,0,0,0,0,none_listed,0,Ebony,black,f,4,1,1,0,19,1,1,0,0,1,0,low,0
400,Chicago,wholesale_and_retail_trade,manager,1.0,0,private,1,0,0,0,0,0,none_listed,0,Jay,white,m,2,0,0,1,5,0,0,1,0,0,1,high,0
399,Chicago,finance_insurance_real_estate,secretary,0.0,0,private,1,0,0,0,0,0,none_listed,0,Keisha,black,f,4,1,0,0,7,1,1,0,1,1,1,high,0
399,Chicago,finance_insurance_real_estate,secretary,0.0,0,private,1,0,0,0,0,0,none_listed,0,Laurie,white,f,4,1,0,1,21,1,0,0,0,1,1,high,0
400,Chicago,wholesale_and_retail_trade,manager,1.0,0,private,1,0,0,0,0,0,none_listed,0,Tyrone,black,m,2,0,0,1,5,0,1,1,0,0,1,high,0
401,Chicago,business_and_personal_service,secretary,0.0,1,nonprofit,1,0,1,1,1,0,some_college,0,Anne,white,f,4,1,0,1,4,1,1,0,0,1,0,low,1
401,Chicago,business_and_personal_service,secretary,0.0,1,nonprofit,1,0,1,1,1,0,some_college,0,Lakisha,black,f,4,1,0,1,5,1,1,0,0,0,1,high,1
401,Chicago,business_and_personal_service,secretary,0.0,1,nonprofit,1,0,1,1,1,0,some_college,0,Latonya,black,f,4,1,0,1,6,1,0,0,0,0,0,low,1
401,Chicago,business_and_personal_service,secretary,0.0,1,nonprofit,1,0,1,1,1,0,some_college,0,Meredith,white,f,3,0,0,1,5,1,0,1,0,0,1,high,1
403,Chicago,other_service,manager,0.0,0,unknown,0,0,0,0,0,0,none_listed,0,Allison,white,f,0,0,0,0,5,1,1,1,0,0,1,high,0
402,Chicago,manufacturing,secretary,0.0,1,private,0,0,0,0,0,0,none_listed,0,Carrie,white,f,4,1,0,0,6,0,0,0,0,0,0,low,0
403,Chicago,other_service,manager,0.0,0,unknown,0,0,0,0,0,0,none_listed,0,Ebony,black,f,4,1,0,1,6,0,0,1,0,0,1,high,0
402,Chicago,manufacturing,secretary,0.0,1,private,0,0,0,0,0,0,none_listed,0,Kenya,black,f,4,1,0,0,6,1,1,0,0,1,0,low,0
402,Chicago,manufacturing,secretary,0.0,1,private,0,0,0,0,0,0,none_listed,0,Lakisha,black,f,4,1,1,1,6,1,0,0,0,1,1,high,0
402,Chicago,manufacturing,secretary,0.0,1,private,0,0,0,0,0,0,none_listed,0,Laurie,white,f,3,0,0,1,4,1,0,1,1,0,1,high,0
404,Chicago,business_and_personal_service,clerical,0.0,0,private,1,1,0,0,1,1,none_listed,0,Aisha,black,f,4,1,0,0,8,1,0,1,0,1,1,high,0
404,Chicago,business_and_personal_service,clerical,0.0,0,private,1,1,0,0,1,1,none_listed,0,Anne,white,f,4,1,0,1,5,1,0,0,0,1,0,low,0
405,Chicago,wholesale_and_retail_trade,retail_sales,0.0,1,unknown,0,0,0,0,0,0,none_listed,0,Brendan,white,m,4,1,0,0,5,0,1,1,0,0,1,high,0
405,Chicago,wholesale_and_retail_trade,retail_sales,0.0,1,unknown,0,0,0,0,0,0,none_listed,0,Hakim,black,m,1,0,0,0,5,1,1,1,0,0,1,high,0
404,Chicago,business_and_personal_service,clerical,0.0,0,private,1,1,0,0,1,1,none_listed,0,Latoya,black,f,3,0,0,1,6,1,0,0,0,0,0,low,0
405,Chicago,wholesale_and_retail_trade,retail_sales,0.0,1,unknown,0,0,0,0,0,0,none_listed,0,Laurie,white,f,4,1,0,0,5,0,1,0,0,0,0,low,0
404,Chicago,business_and_personal_service,clerical,0.0,0,private,1,1,0,0,1,1,none_listed,0,Laurie,white,f,3,0,0,1,3,1,0,1,1,0,1,high,0
405,Chicago,wholesale_and_retail_trade,retail_sales,0.0,1,unknown,0,0,0,0,0,0,none_listed,0,Leroy,black,m,4,1,0,0,4,1,1,0,0,0,0,low,0
406,Chicago,manufacturing,secretary,0.0,1,private,1,1,0,0,1,0,none_listed,0,Anne,white,f,4,1,0,1,12,1,0,1,0,0,1,high,0
406,Chicago,manufacturing,secretary,0.0,1,private,1,1,0,0,1,0,none_listed,0,Kenya,black,f,3,0,0,1,11,1,0,1,0,0,1,high,0
406,Chicago,manufacturing,secretary,0.0,1,private,1,1,0,0,1,0,none_listed,0,Latonya,black,f,4,1,1,0,9,1,0,0,0,1,0,low,0
406,Chicago,manufacturing,secretary,0.0,1,private,1,1,0,0,1,0,none_listed,0,Meredith,white,f,4,1,0,0,10,1,0,0,0,1,0,low,0
407,Chicago,other_service,manager,0.0,0,nonprofit,1,0,1,1,1,0,college,0,Jamal,black,m,4,1,0,0,5,1,1,0,0,1,0,low,0
407,Chicago,other_service,manager,0.0,0,nonprofit,1,0,1,1,1,0,college,0,Matthew,white,m,4,1,0,0,4,1,1,1,0,1,1,high,0
407,Chicago,other_service,manager,0.0,0,nonprofit,1,0,1,1,1,0,college,0,Neil,white,m,4,1,0,1,4,1,0,0,0,0,0,low,0
407,Chicago,other_service,manager,0.0,0,nonprofit,1,0,1,1,1,0,college,0,Tyrone,black,m,4,1,0,1,3,1,0,1,0,1,1,high,0
410,Chicago,wholesale_and_retail_trade,manager,0.0,0,private,1,0,0,0,0,0,none_listed,0,Leroy,black,m,2,0,0,0,4,0,1,1,0,0,1,high,0
410,Chicago,wholesale_and_retail_trade,manager,0.0,0,private,1,0,0,0,0,0,none_listed,1,Todd,white,m,2,0,0,1,7,1,0,1,0,1,1,high,0
412,Chicago,wholesale_and_retail_trade,manager,0.0,0,unknown,0,0,0,0,0,0,none_listed,0,Brad,white,m,1,0,0,0,3,1,1,0,0,0,0,low,1
411,Chicago,other_service,secretary,0.0,1,unknown,1,1,0,0,1,0,none_listed,0,Ebony,black,f,4,1,0,1,3,1,0,0,0,0,0,low,1
411,Chicago,other_service,secretary,0.0,1,unknown,1,1,0,0,1,0,none_listed,0,Jill,white,f,4,1,0,0,2,1,0,0,0,1,0,low,1
411,Chicago,other_service,secretary,0.0,1,unknown,1,1,0,0,1,0,none_listed,0,Kristen,white,f,4,1,0,1,4,1,0,0,0,0,1,high,1
412,Chicago,wholesale_and_retail_trade,manager,0.0,0,unknown,0,0,0,0,0,0,none_listed,0,Lakisha,black,f,4,1,1,1,4,0,1,1,0,1,1,high,1
412,Chicago,wholesale_and_retail_trade,manager,0.0,0,unknown,0,0,0,0,0,0,none_listed,0,Matthew,white,m,4,1,0,1,4,1,1,1,1,0,1,high,1
411,Chicago,other_service,secretary,0.0,1,unknown,1,1,0,0,1,0,none_listed,0,Tamika,black,f,4,1,0,1,4,1,1,0,0,0,1,high,1
412,Chicago,wholesale_and_retail_trade,manager,0.0,0,unknown,0,0,0,0,0,0,none_listed,0,Tremayne,black,m,4,1,0,0,2,1,1,0,0,0,0,low,1
413,Chicago,manufacturing,secretary,1.0,1,public,1,0,0,0,1,0,none_listed,0,Aisha,black,f,4,1,0,0,10,1,1,1,0,1,1,high,0
414,Chicago,wholesale_and_retail_trade,manager,1.0,0,private,1,0,0,0,0,0,none_listed,1,Brett,white,m,2,0,0,1,4,0,0,1,0,1,1,high,0
414,Chicago,wholesale_and_retail_trade,manager,1.0,0,private,1,0,0,0,0,0,none_listed,0,Darnell,black,m,2,0,0,1,5,0,1,1,0,0,1,high,0
413,Chicago,manufacturing,secretary,1.0,1,public,1,0,0,0,1,0,none_listed,0,Emily,white,f,4,1,0,1,11,1,0,1,0,1,1,high,0
413,Chicago,manufacturing,secretary,1.0,1,public,1,0,0,0,1,0,none_listed,0,Latonya,black,f,4,1,0,1,3,1,1,0,0,0,0,low,0
413,Chicago,manufacturing,secretary,1.0,1,public,1,0,0,0,1,0,none_listed,0,Sarah,white,f,4,1,0,0,2,1,1,0,0,1,0,low,0
415,Chicago,wholesale_and_retail_trade,supervisor,0.0,1,public,1,0,0,0,1,0,none_listed,0,Aisha,black,f,4,1,0,1,7,1,0,0,0,0,1,high,0
415,Chicago,wholesale_and_retail_trade,supervisor,0.0,1,public,1,0,0,0,1,0,none_listed,0,Anne,white,f,4,1,0,0,7,1,1,1,0,1,1,high,0
416,Chicago,wholesale_and_retail_trade,manager,0.0,0,unknown,1,0,0,0,0,0,none_listed,0,Jermaine,black,m,4,1,0,1,4,0,0,1,0,1,1,high,0
416,Chicago,wholesale_and_retail_trade,manager,0.0,0,unknown,1,0,0,0,0,0,none_listed,0,Neil,white,m,4,1,0,1,4,0,1,1,0,0,1,high,0
417,Chicago,other_service,secretary,0.0,0,unknown,1,0,1,1,1,0,some_college,0,Allison,white,f,4,1,0,1,4,1,0,1,0,0,1,high,1
418,Chicago,wholesale_and_retail_trade,manager,0.0,1,public,1,0,0,0,0,0,none_listed,1,Anne,white,f,4,1,1,1,6,0,1,1,0,0,1,high,0
417,Chicago,other_service,secretary,0.0,0,unknown,1,0,1,1,1,0,some_college,0,Keisha,black,f,4,1,0,1,6,1,0,1,0,1,1,high,1
418,Chicago,wholesale_and_retail_trade,manager,0.0,1,public,1,0,0,0,0,0,none_listed,1,Latonya,black,f,4,1,0,1,6,0,1,1,0,1,1,high,0
419,Chicago,wholesale_and_retail_trade,manager,0.0,0,private,0,0,0,0,0,0,none_listed,0,Latonya,black,f,4,1,0,1,6,0,1,1,0,0,1,high,0
419,Chicago,wholesale_and_retail_trade,manager,0.0,0,private,0,0,0,0,0,0,none_listed,0,Laurie,white,f,4,1,0,1,6,0,1,1,1,0,1,high,0
420,Chicago,wholesale_and_retail_trade,manager,1.0,1,public,1,0,0,0,1,0,none_listed,0,Jay,white,m,4,1,1,1,6,0,1,1,0,0,1,high,0
420,Chicago,wholesale_and_retail_trade,manager,1.0,1,public,1,0,0,0,1,0,none_listed,0,Lakisha,black,f,4,1,0,1,4,0,0,1,0,0,1,high,0
421,Chicago,manufacturing,secretary,0.0,1,public,1,0,0,0,1,0,none_listed,0,Anne,white,f,2,0,0,1,23,1,0,1,0,1,0,low,0
421,Chicago,manufacturing,secretary,0.0,1,public,1,0,0,0,1,0,none_listed,0,Keisha,black,f,4,1,0,1,5,1,0,0,0,1,0,low,0
421,Chicago,manufacturing,secretary,0.0,1,public,1,0,0,0,1,0,none_listed,0,Kristen,white,f,3,0,0,1,4,1,0,0,0,0,1,high,0
421,Chicago,manufacturing,secretary,0.0,1,public,1,0,0,0,1,0,none_listed,0,Lakisha,black,f,4,1,1,1,4,1,0,0,0,1,0,high,0
422,Chicago,manufacturing,supervisor,0.0,1,private,1,0,0,0,1,0,none_listed,0,Allison,white,f,3,0,0,0,5,1,0,1,0,1,0,high,0
422,Chicago,manufacturing,supervisor,0.0,1,private,1,0,0,0,1,0,none_listed,0,Ebony,black,f,3,0,0,1,5,1,0,1,1,0,1,high,0
422,Chicago,manufacturing,supervisor,0.0,1,private,1,0,0,0,1,0,none_listed,0,Keisha,black,f,3,0,0,1,5,1,1,0,0,0,0,low,0
423,Chicago,wholesale_and_retail_trade,manager,0.0,1,public,1,0,0,0,0,0,none_listed,0,Kristen,white,f,2,0,0,0,1,0,1,1,0,1,0,low,0
423,Chicago,wholesale_and_retail_trade,manager,0.0,1,public,1,0,0,0,0,0,none_listed,0,Lakisha,black,f,4,1,0,0,5,0,1,0,0,0,0,low,0
422,Chicago,manufacturing,supervisor,0.0,1,private,1,0,0,0,1,0,none_listed,0,Meredith,white,f,4,1,0,1,5,1,0,0,0,1,0,low,0
425,Chicago,finance_insurance_real_estate,retail_sales,0.0,0,unknown,1,0,0,0,0,0,none_listed,0,Allison,white,f,4,1,0,0,5,0,0,0,0,0,0,low,0
424,Chicago,business_and_personal_service,supervisor,0.0,0,private,1,0,0,0,1,0,none_listed,0,Kristen,white,f,4,1,0,1,8,1,1,0,0,0,1,high,0
425,Chicago,finance_insurance_real_estate,retail_sales,0.0,0,unknown,1,0,0,0,0,0,none_listed,0,Lakisha,black,f,2,0,0,0,4,0,1,0,0,0,0,low,0
424,Chicago,business_and_personal_service,supervisor,0.0,0,private,1,0,0,0,1,0,none_listed,0,Lakisha,black,f,4,1,0,0,9,1,1,1,0,1,1,high,0
426,Chicago,wholesale_and_retail_trade,supervisor,0.0,0,unknown,1,1,0,0,0,0,none_listed,1,Tanisha,black,f,4,1,1,1,9,1,1,1,0,0,1,high,1
426,Chicago,wholesale_and_retail_trade,supervisor,0.0,0,unknown,1,1,0,0,0,0,none_listed,1,Todd,white,m,3,0,0,1,5,0,1,1,0,1,1,high,1
428,Chicago,wholesale_and_retail_trade,manager,0.0,1,private,0,0,0,0,0,0,none_listed,0,Aisha,black,f,4,1,0,1,6,0,0,1,0,1,1,high,0
427,Chicago,wholesale_and_retail_trade,supervisor,0.0,1,private,1,0,0,0,1,0,none_listed,0,Anne,white,f,3,0,0,1,8,1,0,0,0,0,1,high,0
427,Chicago,wholesale_and_retail_trade,supervisor,0.0,1,private,1,0,0,0,1,0,none_listed,0,Jill,white,f,4,1,0,1,9,1,0,0,0,1,0,low,0
427,Chicago,wholesale_and_retail_trade,supervisor,0.0,1,private,1,0,0,0,1,0,none_listed,0,Latoya,black,f,4,1,0,1,9,1,1,0,0,0,1,high,0
428,Chicago,wholesale_and_retail_trade,manager,0.0,1,private,0,0,0,0,0,0,none_listed,0,Neil,white,m,4,1,0,1,5,0,0,1,0,0,1,high,0
427,Chicago,wholesale_and_retail_trade,supervisor,0.0,1,private,1,0,0,0,1,0,none_listed,0,Tamika,black,f,4,1,0,0,10,1,0,0,0,1,0,low,0
429,Chicago,other_service,secretary,0.0,0,unknown,1,0,0,0,1,0,none_listed,0,Anne,white,f,4,1,0,1,8,1,0,0,0,0,1,high,1
430,Chicago,business_and_personal_service,manager,0.0,0,private,1,0,0,0,0,0,none_listed,0,Geoffrey,white,m,2,0,0,1,6,1,0,1,0,1,1,high,0
429,Chicago,other_service,secretary,0.0,0,unknown,1,0,0,0,1,0,none_listed,0,Latoya,black,f,4,1,0,0,5,1,1,1,0,1,1,high,1
430,Chicago,business_and_personal_service,manager,0.0,0,private,1,0,0,0,0,0,none_listed,0,Rasheed,black,m,2,0,0,1,4,0,1,1,0,0,1,high,0
431,Chicago,manufacturing,supervisor,0.0,1,private,1,0,1,1,1,0,high_school_grad,0,Aisha,black,f,3,0,0,1,6,1,0,0,0,0,0,low,0
431,Chicago,manufacturing,supervisor,0.0,1,private,1,0,1,1,1,0,high_school_grad,0,Allison,white,f,3,0,0,1,4,1,0,1,1,0,1,high,0
431,Chicago,manufacturing,supervisor,0.0,1,private,1,0,1,1,1,0,high_school_grad,0,Carrie,white,f,2,0,0,0,6,1,0,0,0,0,0,low,0
432,Chicago,wholesale_and_retail_trade,manager,0.0,0,unknown,1,0,0,0,0,0,none_listed,0,Ebony,black,f,0,0,0,0,4,1,1,0,0,1,0,low,1
431,Chicago,manufacturing,supervisor,0.0,1,private,1,0,1,1,1,0,high_school_grad,0,Kenya,black,f,3,0,0,1,5,1,0,1,0,0,1,high,0
432,Chicago,wholesale_and_retail_trade,manager,0.0,0,unknown,1,0,0,0,0,0,none_listed,0,Kristen,white,f,4,1,0,0,4,0,1,0,0,0,0,low,1
433,Chicago,wholesale_and_retail_trade,manager,0.0,0,private,0,0,0,0,0,0,none_listed,0,Jermaine,black,m,2,0,0,0,6,0,0,0,0,0,0,low,0
433,Chicago,wholesale_and_retail_trade,manager,0.0,0,private,0,0,0,0,0,0,none_listed,0,Laurie,white,f,2,0,0,0,4,0,1,0,0,0,0,low,0
434,Chicago,other_service,secretary,0.0,1,unknown,1,0,0,0,1,0,none_listed,0,Allison,white,f,2,0,0,1,7,1,0,1,0,1,0,low,0
434,Chicago,other_service,secretary,0.0,1,unknown,1,0,0,0,1,0,none_listed,0,Kristen,white,f,3,0,0,1,9,1,0,0,0,0,1,high,0
434,Chicago,other_service,secretary,0.0,1,unknown,1,0,0,0,1,0,none_listed,0,Lakisha,black,f,4,1,1,0,7,1,0,0,0,1,0,low,0
434,Chicago,other_service,secretary,0.0,1,unknown,1,0,0,0,1,0,none_listed,0,Latonya,black,f,3,0,0,0,8,1,0,1,0,1,1,high,0
435,Chicago,wholesale_and_retail_trade,manager,0.0,0,private,1,0,0,0,0,0,none_listed,0,Brad,white,m,4,1,0,0,6,1,1,0,0,1,0,low,0
435,Chicago,wholesale_and_retail_trade,manager,0.0,0,private,1,0,0,0,0,0,none_listed,0,Leroy,black,m,4,1,0,0,9,1,1,0,0,1,0,low,0
436,Chicago,finance_insurance_real_estate,secretary,0.0,0,unknown,1,0,0,0,1,0,none_listed,0,Emily,white,f,3,0,0,0,12,1,0,1,0,1,1,high,1
436,Chicago,finance_insurance_real_estate,secretary,0.0,0,unknown,1,0,0,0,1,0,none_listed,0,Latonya,black,f,2,0,0,0,6,1,0,0,0,0,0,low,1
436,Chicago,finance_insurance_real_estate,secretary,0.0,0,unknown,1,0,0,0,1,0,none_listed,0,Latoya,black,f,4,1,1,1,5,1,0,0,0,1,1,high,1
436,Chicago,finance_insurance_real_estate,secretary,0.0,0,unknown,1,0,0,0,1,0,none_listed,0,Laurie,white,f,4,1,0,0,7,1,0,0,0,1,0,low,1
438,Chicago,business_and_personal_service,retail_sales,0.0,0,unknown,1,1,0,0,0,0,none_listed,0,Aisha,black,f,4,1,0,0,14,0,0,0,0,0,1,high,0
437,Chicago,business_and_personal_service,manager,0.0,0,private,1,0,0,0,1,0,none_listed,0,Allison,white,f,4,1,0,1,12,1,0,0,0,1,0,low,0
437,Chicago,business_and_personal_service,manager,0.0,0,private,1,0,0,0,1,0,none_listed,0,Ebony,black,f,4,1,0,0,7,1,1,0,1,1,1,high,0
438,Chicago,business_and_personal_service,retail_sales,0.0,0,unknown,1,1,0,0,0,0,none_listed,0,Jermaine,black,m,3,0,0,0,3,0,1,0,0,1,0,low,0
438,Chicago,business_and_personal_service,retail_sales,0.0,0,unknown,1,1,0,0,0,0,none_listed,0,Kristen,white,f,2,0,0,0,1,0,1,0,0,0,0,low,0
437,Chicago,business_and_personal_service,manager,0.0,0,private,1,0,0,0,1,0,none_listed,0,Latonya,black,f,4,1,1,0,5,1,0,0,0,1,0,low,0
437,Chicago,business_and_personal_service,manager,0.0,0,private,1,0,0,0,1,0,none_listed,0,Laurie,white,f,4,1,0,1,21,1,0,0,0,1,1,high,0
438,Chicago,business_and_personal_service,retail_sales,0.0,0,unknown,1,1,0,0,0,0,none_listed,0,Laurie,white,f,4,1,0,0,2,1,1,0,0,1,1,high,0
